100
1 aaaaabbbbbcccccdddddaaaaabbbbbcccccddddd aaaaabbbbbcccccdddddaaaaabbbbbcccccddddd 0 0 0
2 aaaaabbbbbcccccdddddaaaaabbbbbcccccddddd aaaaabbbbbcccccdddddaaaaabbbbbcccccddddd 100 100 100
3 aaaaabbbbbcccccdddddaaaaabbbbbcccccddddd aaaaabbbbbcccccdddddaaaaabbbbbcccccddddd 40 74 15
4 aaaaabbbbbcccccdddddaaaaabbbbbcccccddddd aaaaabbbbbcccccdddddaaaaabbbbbcccccddddd 85 82 24
5 aaaaabbbbbcccccdddddaaaaabbbbbcccccddddd aaaaabbbbbcccccdddddaaaaabbbbbcccccddddd 39 75 69
6 aaaaabbbbbcccccdddddaaaaabbbbbcccccddddd aaaaabbbbbcccccdddddaaaaabbbbbcccccddddd 11 74 38
7 aaaaabbbbbcccccdddddaaaaabbbbbcccccddddd aaaaabbbbbcccccdddddaaaaabbbbbcccccddddd 82 29 0
8 aaaaabbbbbcccccdddddaaaaabbbbbcccccddddd aaaaabbbbbcccccdddddaaaaabbbbbcccccddddd 78 73 44
9 aaaaabbbbbcccccdddddaaaaabbbbbcccccddddd aaaaabbbbbcccccdddddaaaaabbbbbcccccddddd 17 71 79
10 aaaaabbbbbcccccdddddaaaaabbbbbcccccddddd aaaaabbbbbcccccdddddaaaaabbbbbcccccddddd 0 66 86
11 aaaaabbbbbcccccdddddaaaaabbbbbcccccddddd aaaaabbbbbcccccdddddaaaaabbbbbcccccddddd 34 35 93
12 aaaaabbbbbcccccdddddaaaaabbbbbcccccddddd aaaaabbbbbcccccdddddaaaaabbbbbcccccddddd 23 54 90
13 aaaaabbbbbcccccdddddaaaaabbbbbcccccddddd aaaaabbbbbcccccdddddaaaaabbbbbcccccddddd 93 85 60
14 aaaaabbbbbcccccdddddaaaaabbbbbcccccddddd aaaaabbbbbcccccdddddaaaaabbbbbcccccddddd 46 10 53
15 aaaaabbbbbcccccdddddaaaaabbbbbcccccddddd aaaaabbbbbcccccdddddaaaaabbbbbcccccddddd 25 43 91
16 aaaaabbbbbcccccdddddaaaaabbbbbcccccddddd aaaaabbbbbcccccdddddaaaaabbbbbcccccddddd 60 55 80
17 aaaaabbbbbcccccdddddaaaaabbbbbcccccddddd aaaaabbbbbcccccdddddaaaaabbbbbcccccddddd 72 29 63
18 aaaaabbbbbcccccdddddaaaaabbbbbcccccddddd aaaaabbbbbcccccdddddaaaaabbbbbcccccddddd 32 86 20
19 aaaaabbbbbcccccdddddaaaaabbbbbcccccddddd aaaaabbbbbcccccdddddaaaaabbbbbcccccddddd 12 90 70
20 aaaaabbbbbcccccdddddaaaaabbbbbcccccddddd aaaaabbbbbcccccdddddaaaaabbbbbcccccddddd 28 30 85
21 aaaaabbbbbcccccdddddaaaaabbbbbcccccddddd aaaaabbbbbcccccdddddaaaaabbbbbcccccddddd 41 45 52
22 aaaaabbbbbcccccdddddaaaaabbbbbcccccddddd aaaaabbbbbcccccdddddaaaaabbbbbcccccddddd 86 5 26
23 aaaaabbbbbcccccdddddaaaaabbbbbcccccddddd aaaaabbbbbcccccdddddaaaaabbbbbcccccddddd 44 100 70
24 aaaaabbbbbcccccdddddaaaaabbbbbcccccddddd aaaaabbbbbcccccdddddaaaaabbbbbcccccddddd 16 40 6
25 aaaaabbbbbcccccdddddaaaaabbbbbcccccddddd aaaaabbbbbcccccdddddaaaaabbbbbcccccddddd 100 81 14
26 aaaaabbbbbcccccdddddaaaaabbbbbcccccddddd aaaaabbbbbcccccdddddaaaaabbbbbcccccddddd 55 55 78
