101
1 ABCD TTTT 1 1 1
2 ABC GGG 2 2 2
3 ABCD TTTT 3 3 3
4 ABC GGG 4 4 4
5 ABCD TTTT 5 5 5
6 ABC GGG 6 6 6
7 ABCD TTTT 7 7 7
8 ABC GGG 8 8 8
9 ABCD TTTT 9 9 9
10 ABC GGG 10 10 10
11 ABCD TTTT 11 11 11
12 ABC GGG 12 12 12
13 ABCD TTTT 13 13 13
14 ABC GGG 14 14 14
15 ABCD TTTT 15 15 15
16 ABC GGG 16 16 16
17 ABCD TTTT 17 17 17
18 ABC GGG 18 18 18
19 ABCD TTTT 19 19 19
20 ABC GGG 20 20 20
21 ABCD TTTT 21 21 21
22 ABC GGG 22 22 22
23 ABCD TTTT 23 23 23
24 ABC GGG 24 24 24
25 ABCD TTTT 25 25 25
26 ABC GGG 26 26 26
27 ABCD TTTT 27 27 27
28 ABC GGG 28 28 28
29 ABCD TTTT 29 29 29
30 ABC GGG 30 30 30
31 ABCD TTTT 31 31 31
32 ABC GGG 32 32 32
33 ABCD TTTT 33 33 33
34 ABC GGG 34 34 34
35 ABCD TTTT 35 35 35
36 ABC GGG 36 36 36
37 ABCD TTTT 37 37 37
38 ABC GGG 38 38 38
39 ABCD TTTT 39 39 39
40 ABC GGG 40 40 40
41 ABCD TTTT 41 41 41
42 ABC GGG 42 42 42
43 ABCD TTTT 43 43 43
44 ABC GGG 44 44 44
45 ABCD TTTT 45 45 45
46 ABC GGG 46 46 46
47 ABCD TTTT 47 47 47
48 ABC GGG 48 48 48
49 ABCD TTTT 49 49 49
50 ABC GGG 50 50 50
51 ABCD TTTT 51 51 51
52 ABC GGG 52 52 52
53 ABCD TTTT 53 53 53
54 ABC GGG 54 54 54
55 ABCD TTTT 55 55 55
56 ABC GGG 56 56 56
57 ABCD TTTT 57 57 57
58 ABC GGG 58 58 58
59 ABCD TTTT 59 59 59
60 ABC GGG 60 60 60
61 ABCD TTTT 61 61 61
62 ABC GGG 62 62 62
63 ABCD TTTT 63 63 63
64 ABC GGG 64 64 64
65 ABCD TTTT 65 65 65
66 ABC GGG 66 66 66
67 ABCD TTTT 67 67 67
68 ABC GGG 68 68 68
69 ABCD TTTT 69 69 69
70 ABC GGG 70 70 70
71 ABCD TTTT 71 71 71
72 ABC GGG 72 72 72
73 ABCD TTTT 73 73 73
74 ABC GGG 74 74 74
75 ABCD TTTT 75 75 75
76 ABC GGG 76 76 76
77 ABCD TTTT 77 77 77
78 ABC GGG 78 78 78
79 ABCD TTTT 79 79 79
80 ABC GGG 80 80 80
81 ABCD TTTT 81 81 81
82 ABC GGG 82 82 82
83 ABCD TTTT 83 83 83
84 ABC GGG 84 84 84
85 ABCD TTTT 85 85 85
86 ABC GGG 86 86 86
87 ABCD TTTT 87 87 87
88 ABC GGG 88 88 88
89 ABCD TTTT 89 89 89
90 ABC GGG 90 90 90
91 ABCD TTTT 91 91 91
92 ABC GGG 92 92 92
93 ABCD TTTT 93 93 93
94 ABC GGG 94 94 94
95 ABCD TTTT 95 95 95
96 ABC GGG 96 96 96
97 ABCD TTTT 97 97 97
98 ABC GGG 98 98 98
99 ABCD TTTT 99 99 99
100 ABC GGG 100 100 100
101 ABCD TTTT 99 99 99
